con_id,key,value
con_0,subproblem_id,1
con_0,label_id,0
con_0,order_quantity,250
con_1,subproblem_id,1
con_1,label_id,1
con_1,order_quantity,255
con_2,subproblem_id,1
con_2,label_id,2
con_2,order_quantity,260
con_3,subproblem_id,1
con_3,label_id,3
con_3,order_quantity,500
con_4,subproblem_id,1
con_4,label_id,4
con_4,order_quantity,500
con_5,subproblem_id,1
con_5,label_id,5
con_5,order_quantity,800
con_6,subproblem_id,1
con_6,label_id,6
con_6,order_quantity,1100
con_7,subproblem_id,2
con_7,label_id,0
con_7,order_quantity,250
con_8,subproblem_id,2
con_8,label_id,1
con_8,order_quantity,255
con_9,subproblem_id,2
con_9,label_id,2
con_9,order_quantity,260
con_10,subproblem_id,2
con_10,label_id,3
con_10,order_quantity,500
con_11,subproblem_id,2
con_11,label_id,4
con_11,order_quantity,500
con_12,subproblem_id,2
con_12,label_id,5
con_12,order_quantity,800
con_13,subproblem_id,2
con_13,label_id,6
con_13,order_quantity,1100
con_14,subproblem_id,3
con_14,label_id,0
con_14,order_quantity,250
con_15,subproblem_id,3
con_15,label_id,1
con_15,order_quantity,255
con_16,subproblem_id,3
con_16,label_id,2
con_16,order_quantity,260
con_17,subproblem_id,3
con_17,label_id,3
con_17,order_quantity,500
con_18,subproblem_id,3
con_18,label_id,4
con_18,order_quantity,500
con_19,subproblem_id,3
con_19,label_id,5
con_19,order_quantity,800
con_20,subproblem_id,3
con_20,label_id,6
con_20,order_quantity,1100
con_21,subproblem_id,4
con_21,label_id,0
con_21,order_quantity,250
con_22,subproblem_id,4
con_22,label_id,1
con_22,order_quantity,255
con_23,subproblem_id,4
con_23,label_id,2
con_23,order_quantity,260
con_24,subproblem_id,4
con_24,label_id,3
con_24,order_quantity,500
con_25,subproblem_id,4
con_25,label_id,4
con_25,order_quantity,500
con_26,subproblem_id,4
con_26,label_id,5
con_26,order_quantity,800
con_27,subproblem_id,4
con_27,label_id,6
con_27,order_quantity,1100
con_28,subproblem_id,1
con_28,label_id,0
con_28,order_quantity,250
con_29,subproblem_id,1
con_29,label_id,1
con_29,order_quantity,255
con_30,subproblem_id,1
con_30,label_id,2
con_30,order_quantity,260
con_31,subproblem_id,1
con_31,label_id,3
con_31,order_quantity,500
con_32,subproblem_id,1
con_32,label_id,4
con_32,order_quantity,500
con_33,subproblem_id,1
con_33,label_id,5
con_33,order_quantity,800
con_34,subproblem_id,1
con_34,label_id,6
con_34,order_quantity,1100
con_35,subproblem_id,2
con_35,label_id,0
con_35,order_quantity,250
con_36,subproblem_id,2
con_36,label_id,1
con_36,order_quantity,255
con_37,subproblem_id,2
con_37,label_id,2
con_37,order_quantity,260
con_38,subproblem_id,2
con_38,label_id,3
con_38,order_quantity,500
con_39,subproblem_id,2
con_39,label_id,4
con_39,order_quantity,500
con_40,subproblem_id,2
con_40,label_id,5
con_40,order_quantity,800
con_41,subproblem_id,2
con_41,label_id,6
con_41,order_quantity,1100
con_42,subproblem_id,3
con_42,label_id,0
con_42,order_quantity,250
con_43,subproblem_id,3
con_43,label_id,1
con_43,order_quantity,255
con_44,subproblem_id,3
con_44,label_id,2
con_44,order_quantity,260
con_45,subproblem_id,3
con_45,label_id,3
con_45,order_quantity,500
con_46,subproblem_id,3
con_46,label_id,4
con_46,order_quantity,500
con_47,subproblem_id,3
con_47,label_id,5
con_47,order_quantity,800
con_48,subproblem_id,3
con_48,label_id,6
con_48,order_quantity,1100
con_49,subproblem_id,4
con_49,label_id,0
con_49,order_quantity,250
con_50,subproblem_id,4
con_50,label_id,1
con_50,order_quantity,255
con_51,subproblem_id,4
con_51,label_id,2
con_51,order_quantity,260
con_52,subproblem_id,4
con_52,label_id,3
con_52,order_quantity,500
con_53,subproblem_id,4
con_53,label_id,4
con_53,order_quantity,500
con_54,subproblem_id,4
con_54,label_id,5
con_54,order_quantity,800
con_55,subproblem_id,4
con_55,label_id,6
con_55,order_quantity,1100
con_56,subproblem_id,1
con_56,template_id,1
con_56,label_id,0
con_56,order_quantity,250
con_57,subproblem_id,1
con_57,template_id,1
con_57,label_id,1
con_57,order_quantity,255
con_58,subproblem_id,1
con_58,template_id,1
con_58,label_id,2
con_58,order_quantity,260
con_59,subproblem_id,1
con_59,template_id,1
con_59,label_id,3
con_59,order_quantity,500
con_60,subproblem_id,1
con_60,template_id,1
con_60,label_id,4
con_60,order_quantity,500
con_61,subproblem_id,1
con_61,template_id,1
con_61,label_id,5
con_61,order_quantity,800
con_62,subproblem_id,1
con_62,template_id,1
con_62,label_id,6
con_62,order_quantity,1100
con_63,subproblem_id,2
con_63,template_id,1
con_63,label_id,0
con_63,order_quantity,250
con_64,subproblem_id,2
con_64,template_id,1
con_64,label_id,1
con_64,order_quantity,255
con_65,subproblem_id,2
con_65,template_id,1
con_65,label_id,2
con_65,order_quantity,260
con_66,subproblem_id,2
con_66,template_id,1
con_66,label_id,3
con_66,order_quantity,500
con_67,subproblem_id,2
con_67,template_id,1
con_67,label_id,4
con_67,order_quantity,500
con_68,subproblem_id,2
con_68,template_id,1
con_68,label_id,5
con_68,order_quantity,800
con_69,subproblem_id,2
con_69,template_id,1
con_69,label_id,6
con_69,order_quantity,1100
con_70,subproblem_id,2
con_70,template_id,2
con_70,label_id,0
con_70,order_quantity,250
con_71,subproblem_id,2
con_71,template_id,2
con_71,label_id,1
con_71,order_quantity,255
con_72,subproblem_id,2
con_72,template_id,2
con_72,label_id,2
con_72,order_quantity,260
con_73,subproblem_id,2
con_73,template_id,2
con_73,label_id,3
con_73,order_quantity,500
con_74,subproblem_id,2
con_74,template_id,2
con_74,label_id,4
con_74,order_quantity,500
con_75,subproblem_id,2
con_75,template_id,2
con_75,label_id,5
con_75,order_quantity,800
con_76,subproblem_id,2
con_76,template_id,2
con_76,label_id,6
con_76,order_quantity,1100
con_77,subproblem_id,3
con_77,template_id,1
con_77,label_id,0
con_77,order_quantity,250
con_78,subproblem_id,3
con_78,template_id,1
con_78,label_id,1
con_78,order_quantity,255
con_79,subproblem_id,3
con_79,template_id,1
con_79,label_id,2
con_79,order_quantity,260
con_80,subproblem_id,3
con_80,template_id,1
con_80,label_id,3
con_80,order_quantity,500
con_81,subproblem_id,3
con_81,template_id,1
con_81,label_id,4
con_81,order_quantity,500
con_82,subproblem_id,3
con_82,template_id,1
con_82,label_id,5
con_82,order_quantity,800
con_83,subproblem_id,3
con_83,template_id,1
con_83,label_id,6
con_83,order_quantity,1100
con_84,subproblem_id,3
con_84,template_id,2
con_84,label_id,0
con_84,order_quantity,250
con_85,subproblem_id,3
con_85,template_id,2
con_85,label_id,1
con_85,order_quantity,255
con_86,subproblem_id,3
con_86,template_id,2
con_86,label_id,2
con_86,order_quantity,260
con_87,subproblem_id,3
con_87,template_id,2
con_87,label_id,3
con_87,order_quantity,500
con_88,subproblem_id,3
con_88,template_id,2
con_88,label_id,4
con_88,order_quantity,500
con_89,subproblem_id,3
con_89,template_id,2
con_89,label_id,5
con_89,order_quantity,800
con_90,subproblem_id,3
con_90,template_id,2
con_90,label_id,6
con_90,order_quantity,1100
con_91,subproblem_id,3
con_91,template_id,3
con_91,label_id,0
con_91,order_quantity,250
con_92,subproblem_id,3
con_92,template_id,3
con_92,label_id,1
con_92,order_quantity,255
con_93,subproblem_id,3
con_93,template_id,3
con_93,label_id,2
con_93,order_quantity,260
con_94,subproblem_id,3
con_94,template_id,3
con_94,label_id,3
con_94,order_quantity,500
con_95,subproblem_id,3
con_95,template_id,3
con_95,label_id,4
con_95,order_quantity,500
con_96,subproblem_id,3
con_96,template_id,3
con_96,label_id,5
con_96,order_quantity,800
con_97,subproblem_id,3
con_97,template_id,3
con_97,label_id,6
con_97,order_quantity,1100
con_98,subproblem_id,4
con_98,template_id,1
con_98,label_id,0
con_98,order_quantity,250
con_99,subproblem_id,4
con_99,template_id,1
con_99,label_id,1
con_99,order_quantity,255
con_100,subproblem_id,4
con_100,template_id,1
con_100,label_id,2
con_100,order_quantity,260
con_101,subproblem_id,4
con_101,template_id,1
con_101,label_id,3
con_101,order_quantity,500
con_102,subproblem_id,4
con_102,template_id,1
con_102,label_id,4
con_102,order_quantity,500
con_103,subproblem_id,4
con_103,template_id,1
con_103,label_id,5
con_103,order_quantity,800
con_104,subproblem_id,4
con_104,template_id,1
con_104,label_id,6
con_104,order_quantity,1100
con_105,subproblem_id,4
con_105,template_id,2
con_105,label_id,0
con_105,order_quantity,250
con_106,subproblem_id,4
con_106,template_id,2
con_106,label_id,1
con_106,order_quantity,255
con_107,subproblem_id,4
con_107,template_id,2
con_107,label_id,2
con_107,order_quantity,260
con_108,subproblem_id,4
con_108,template_id,2
con_108,label_id,3
con_108,order_quantity,500
con_109,subproblem_id,4
con_109,template_id,2
con_109,label_id,4
con_109,order_quantity,500
con_110,subproblem_id,4
con_110,template_id,2
con_110,label_id,5
con_110,order_quantity,800
con_111,subproblem_id,4
con_111,template_id,2
con_111,label_id,6
con_111,order_quantity,1100
con_112,subproblem_id,4
con_112,template_id,3
con_112,label_id,0
con_112,order_quantity,250
con_113,subproblem_id,4
con_113,template_id,3
con_113,label_id,1
con_113,order_quantity,255
con_114,subproblem_id,4
con_114,template_id,3
con_114,label_id,2
con_114,order_quantity,260
con_115,subproblem_id,4
con_115,template_id,3
con_115,label_id,3
con_115,order_quantity,500
con_116,subproblem_id,4
con_116,template_id,3
con_116,label_id,4
con_116,order_quantity,500
con_117,subproblem_id,4
con_117,template_id,3
con_117,label_id,5
con_117,order_quantity,800
con_118,subproblem_id,4
con_118,template_id,3
con_118,label_id,6
con_118,order_quantity,1100
con_119,subproblem_id,4
con_119,template_id,4
con_119,label_id,0
con_119,order_quantity,250
con_120,subproblem_id,4
con_120,template_id,4
con_120,label_id,1
con_120,order_quantity,255
con_121,subproblem_id,4
con_121,template_id,4
con_121,label_id,2
con_121,order_quantity,260
con_122,subproblem_id,4
con_122,template_id,4
con_122,label_id,3
con_122,order_quantity,500
con_123,subproblem_id,4
con_123,template_id,4
con_123,label_id,4
con_123,order_quantity,500
con_124,subproblem_id,4
con_124,template_id,4
con_124,label_id,5
con_124,order_quantity,800
con_125,subproblem_id,4
con_125,template_id,4
con_125,label_id,6
con_125,order_quantity,1100
con_126,subproblem_id,3
con_126,template_id,3
con_127,subproblem_id,4
con_127,template_id,1
con_128,subproblem_id,2
con_128,template_id,2
con_129,subproblem_id,3
con_129,template_id,1
con_130,subproblem_id,1
con_130,template_id,1
con_131,subproblem_id,4
con_131,template_id,4
con_132,subproblem_id,2
con_132,template_id,1
con_133,subproblem_id,4
con_133,template_id,3
con_134,subproblem_id,3
con_134,template_id,2
con_135,subproblem_id,4
